"y" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10" "x11" "x12" "x13" "x14" "x15" "x16" "x17" "x18" "x19" "x20" "x21"
101.94 20 269.29 94.37 25.41 1.553 3.03 46.169 209.148 236.95 18 5182.31 72.64 3.86 3.33 260.12 3222 163.6 2.882 55.03 7 12
146.22 20 285.74 96.95 27.7 1.569 3.545 46.169 217.753 245.92 18 5443.81 72 3.9 3.23 269.95 3230 169.85 2.844 51.89 3 6
157.72 15 330.19 93.4 30.84 1.759 3.676 46.169 222.103 250.46 18 5610.05 71.26 3.84 3.24 274.62 3237 168.6 2.843 49.07 3 6
96.58 35 285.74 43.89 12.54 1.553 3.545 46.169 217.753 245.91 4 1222.13 71.27 3.8 3.81 269.94 3244 165.84 2.911 69.57 7 9
142 15 302.19 100.36 30.33 1.584 4.059 46.169 226.358 254.88 18 5701.59 71.46 3.84 3.65 279.77 3256 170.81 2.86 50.68 5 6
162.65 15 346.64 98.98 34.31 1.786 4.19 46.169 230.707 259.42 18 5799.51 71.6 3.79 3.67 284.45 3232 174.12 2.866 48.67 5 4
124.09 30 330.19 51.1 16.87 1.765 3.676 46.169 222.103 250.46 4 1242.19 71.52 4.04 3.74 274.65 3248 174.5 2.916 67.59 6 10
126.35 20 346.64 64.1 22.22 1.765 4.19 46.169 230.707 259.42 2 652.03 70.77 4.1 3.57 284.44 3256 168.91 2.921 65.21 8 10
179.07 20 296.3 138.48 41.03 1.565 2.826 91.993 227.551 254.04 4 1257.16 72.4 3.23 2.64 280.32 3238 176.81 2.943 57.5 12 20
179.31 30 312.75 130 40.66 1.621 3.34 91.993 236.156 263 4 1281.13 73.73 3 3.1 290.13 3267 156.65 2.984 62.71 11 18
203.89 25 357.2 115.09 41.11 1.809 3.471 91.993 240.505 267.55 4 1311.34 73.36 3.25 3.03 294.81 3262 157.61 2.959 65.12 11 20
169.49 40 296.3 85.74 25.4 1.554 2.826 91.993 227.551 254.04 4 1266.56 71.86 5.91 5.95 280.34 3236 174.57 2.957 63.03 11 22
158.24 25 312.75 105.25 32.92 1.613 3.34 91.993 236.156 263 4 1287.73 73.36 5.84 6.61 290.15 3330 165.61 2.95 66.4 10 17
144.64 20 323.31 134.33 43.43 1.644 2.621 137.817 245.954 271.12 4 1306.41 75.31 2.43 2.81 300.49 3327 148.64 2.914 69.88 10 17
144.93 35 377.19 74.17 27.98 1.941 3.95 46.169 228.207 257.07 4 1290.87 70.71 4.11 3.9 280.93 3248 176.68 2.879 69.2 8 10
170.97 20 393.64 92.65 36.47 1.927 4.464 46.169 236.812 266.05 4 1356.59 69.83 4.19 3.73 290.77 3255 166.01 2.911 66.64 7 11
173.27 20 393.64 85.76 33.76 1.95 4.464 46.169 236.812 266.03 18 6032.58 70.66 3.78 3.64 290.74 3230 171.16 2.856 46.43 3 2
111.94 30 277.37 105.02 29.13 1.302 3.208 55.403 241.393 273.69 2 707.58 68.23 3.55 3.17 299.48 3251 176.87 2.986 70.56 6 4
120.07 35 297.78 23.83 7.1 1.478 3.438 55.403 238.367 268.76 4 1338.34 71.24 2.82 2.5 294.69 3245 176.88 2.917 67.87 10 16
132.88 40 389.23 87.18 33.93 1.862 3.843 55.403 248.822 279.92 4 1388.42 71.68 2.8 2.54 305.67 3246 161.11 2.905 68.72 8 10
184.83 30 308.34 108.22 33.37 1.551 2.719 101.227 248.166 276.87 4 1320 75.2 4.81 4.36 305.03 3275 158.53 3.09 58.57 11 20
140.12 50 288.35 105.08 30.3 1.37 2.515 79.195 241.691 273.54 4 1397.62 69.17 4.22 3.14 298.67 3249 168.59 2.925 67.53 6 10
101.34 25 263.34 46.41 12.22 1.389 2.76 55.403 224.832 255.24 4 1244.58 72.26 4.39 3.94 279.18 3255 177.57 2.933 72.2 8 6
91.85 30 293.37 55.55 16.3 1.458 2.816 64.637 250.377 282.61 4 1345.95 74.41 2.98 2.87 309.53 3277 173.24 3.035 58.3 11 19
178.6 30 258.32 150.27 38.82 1.4 2.458 69.961 216.145 246.22 4 1225.85 70.53 7.33 6.28 268.45 3248 172.12 2.883 73.61 6 6
139.87 20 276.31 123.87 34.23 1.458 2.622 69.961 221.077 250.7 4 1258.83 70.25 5.41 4.72 273.96 3228 171.14 3.052 70.52 6 6
181.84 30 292.76 139.84 40.94 1.488 3.136 69.961 229.681 259.66 4 1306.54 70.32 5.37 5.39 283.78 3228 169.67 3.053 71.4 5 5
206.75 20 384.21 103.31 39.69 1.872 3.541 69.961 240.135 270.82 12 4089.69 70.46 5.88 5.51 294.77 3219 160.91 3.01 83.22 5 8
134.98 20 278.31 116.32 32.37 1.5 2.662 91.993 222.62 249.55 4 1232.17 72.27 7.8 7.48 274.77 3331 171.8 2.982 71.38 9 12
194.53 25 292.34 174.08 50.89 1.467 3.111 91.993 239.181 267.94 4 1323.37 72.29 8.35 7.93 294.96 3333 171.35 2.971 65.6 4 6
